fd_Code,upper_Fd_Grupp_Nm,fd_Grupp_Nm,fd_Nm,fd_Wgh,food_Cnt,food_List
D011001,밥류,쌀밥,눌은밥,440,1,"[{'fd_Code': 'D011001', 'food_Code': 'F00093', 'food_Nm': '즉석밥, 누룽지, 끓는물 부음', 'fd_Eng_Nm': 'Instant cooked rice, Scorched rice(Nurungji), White, Hot water added', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '440', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D011002,밥류,쌀밥,쌀밥,210,1,"[{'fd_Code': 'D011002', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '210', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D011003,밥류,쌀밥,찰밥,210,1,"[{'fd_Code': 'D011003', 'food_Code': 'F03123', 'food_Nm': '찹쌀, 백미, 보람찰, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Glutinous, White, Boramchal, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '210', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D011004,밥류,쌀밥,현미밥,210,1,"[{'fd_Code': 'D011004', 'food_Code': 'F00081', 'food_Nm': '멥쌀, 현미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Brown, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '210', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D011006,밥류,쌀밥,현미밥,160,1,"[{'fd_Code': 'D011006', 'food_Code': 'F00081', 'food_Nm': '멥쌀, 현미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Brown, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '160', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012001,밥류,잡곡밥류,검정콩밥,200,2,"[{'fd_Code': 'D012001', 'food_Code': 'F00467', 'food_Nm': '대두, 검은색, 흑태, 삶은것', 'fd_Eng_Nm': 'Soybean, Black, Heuktae, Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '20', 'allrgy_Info': '대두(콩)', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012001', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012002,밥류,잡곡밥류,기장밥,205,2,"[{'fd_Code': 'D012002', 'food_Code': 'F00004', 'food_Nm': '기장, 도정, 생것', 'fd_Eng_Nm': 'Proso millet(Gijang), Polished, Raw', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '5', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012002', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '200', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012003,밥류,잡곡밥류,녹두밥,210,3,"[{'fd_Code': 'D012003', 'food_Code': 'F00427', 'food_Nm': '녹두, 삶은것', 'fd_Eng_Nm': 'Mungbean(Nokdu), Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012003', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012003', 'food_Code': 'F03123', 'food_Nm': '찹쌀, 백미, 보람찰, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Glutinous, White, Boramchal, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012004,밥류,잡곡밥류,땅콩밥,200,2,"[{'fd_Code': 'D012004', 'food_Code': 'F00498', 'food_Nm': '땅콩, 삶은것, 소금첨가', 'fd_Eng_Nm': 'Peanut(Ttangkong), Boiled, With salt', 'nation_Std_Food_Grupp_Code_Nm': '견과 및 종실류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': '땅콩', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012004', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012005,밥류,잡곡밥류,밤밥,210,2,"[{'fd_Code': 'D012005', 'food_Code': 'F00513', 'food_Nm': '밤, 삶은것', 'fd_Eng_Nm': 'Chestnut(Bam), Boiled', 'nation_Std_Food_Grupp_Code_Nm': '견과 및 종실류', 'origin_Code_Nm': 'null', 'food_Wgh': '20', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012005', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012006,밥류,잡곡밥류,보리밥,200,2,"[{'fd_Code': 'D012006', 'food_Code': 'F00216', 'food_Nm': '보리, 겉보리, 압맥', 'fd_Eng_Nm': 'Barley(Bori), Covered, Pressed grain', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012006', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012007,밥류,잡곡밥류,보리밥(강낭콩),210,3,"[{'fd_Code': 'D012007', 'food_Code': 'F00216', 'food_Nm': '보리, 겉보리, 압맥', 'fd_Eng_Nm': 'Barley(Bori), Covered, Pressed grain', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012007', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012007', 'food_Code': 'F00425', 'food_Nm': '강낭콩, 삶은것', 'fd_Eng_Nm': 'Kidney bean(Gangnangkong), Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012008,밥류,잡곡밥류,보리밥(조),200,3,"[{'fd_Code': 'D012008', 'food_Code': 'F00216', 'food_Nm': '보리, 겉보리, 압맥', 'fd_Eng_Nm': 'Barley(Bori), Covered, Pressed grain', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012008', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012008', 'food_Code': 'F00277', 'food_Nm': '조, 메조, 도정, 찐것', 'fd_Eng_Nm': 'Millet(Jo), Polished, Steamed', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012009,밥류,잡곡밥류,보리밥(팥),200,3,"[{'fd_Code': 'D012009', 'food_Code': 'F00216', 'food_Nm': '보리, 겉보리, 압맥', 'fd_Eng_Nm': 'Barley(Bori), Covered, Pressed grain', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012009', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012009', 'food_Code': 'F00483', 'food_Nm': '팥, 적색, 삶은것', 'fd_Eng_Nm': 'Adzuki bean(Pat), Red, Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012010,밥류,잡곡밥류,수수밥,200,2,"[{'fd_Code': 'D012010', 'food_Code': 'F00228', 'food_Nm': '수수, 찰수수, 도정, 생것', 'fd_Eng_Nm': 'Sorghum(Susu), Glutinous, Polished, Raw', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '20', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012010', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012011,밥류,잡곡밥류,쑥밥,230,2,"[{'fd_Code': 'D012011', 'food_Code': 'F00966', 'food_Nm': '쑥, 생것', 'fd_Eng_Nm': 'Mugwort(Ssuk), Raw', 'nation_Std_Food_Grupp_Code_Nm': '채소류', 'origin_Code_Nm': 'null', 'food_Wgh': '20', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012011', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '210', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012013,밥류,잡곡밥류,오곡밥,206,8,"[{'fd_Code': 'D012013', 'food_Code': 'F03123', 'food_Nm': '찹쌀, 백미, 보람찰, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Glutinous, White, Boramchal, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '140', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '30', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00278', 'food_Nm': '조, 차조, 도정, 생것', 'fd_Eng_Nm': 'Millet(Jo), Glutinous, Polished, Raw', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00483', 'food_Nm': '팥, 적색, 삶은것', 'fd_Eng_Nm': 'Adzuki bean(Pat), Red, Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00228', 'food_Nm': '수수, 찰수수, 도정, 생것', 'fd_Eng_Nm': 'Sorghum(Susu), Glutinous, Polished, Raw', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '5', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00466', 'food_Nm': '대두, 검은색, 흑태, 말린것', 'fd_Eng_Nm': 'Soybean, Black, Heuktae, Dried', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '5', 'allrgy_Info': '대두(콩)', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F00004', 'food_Nm': '기장, 도정, 생것', 'fd_Eng_Nm': 'Proso millet(Gijang), Polished, Raw', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '5', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012013', 'food_Code': 'F02876', 'food_Nm': '소금, 천일염, 가는소금', 'fd_Eng_Nm': 'Salt(Sogeum), Sun-dried salt, Fine salt', 'nation_Std_Food_Grupp_Code_Nm': '조미료류', 'origin_Code_Nm': 'null', 'food_Wgh': '1', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012014,밥류,잡곡밥류,옥수수밥,210,2,"[{'fd_Code': 'D012014', 'food_Code': 'F00261', 'food_Nm': '옥수수, 찰옥수수, 삶은것', 'fd_Eng_Nm': 'Corn(Oksusu), Glutinous, Boiled', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '20', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012014', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '190', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012015,밥류,잡곡밥류,완두콩밥,200,3,"[{'fd_Code': 'D012015', 'food_Code': 'F00444', 'food_Nm': '완두, 삶은것', 'fd_Eng_Nm': 'Pea(Wandu), Boiled', 'nation_Std_Food_Grupp_Code_Nm': '두류', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012015', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012015', 'food_Code': 'F03123', 'food_Nm': '찹쌀, 백미, 보람찰, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Glutinous, White, Boramchal, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
D012016,밥류,잡곡밥류,율무밥,200,3,"[{'fd_Code': 'D012016', 'food_Code': 'F00272', 'food_Nm': '율무, 도정, 생것', 'fd_Eng_Nm': ""Job's tears(Yulmu), Polished, Raw"", 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012016', 'food_Code': 'F00079', 'food_Nm': '멥쌀, 백미, 밥', 'fd_Eng_Nm': 'Rice(Ssal), White, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '180', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}, {'fd_Code': 'D012016', 'food_Code': 'F03123', 'food_Nm': '찹쌀, 백미, 보람찰, 밥', 'fd_Eng_Nm': 'Rice(Ssal), Glutinous, White, Boramchal, Cooked', 'nation_Std_Food_Grupp_Code_Nm': '곡류 및 그 제품', 'origin_Code_Nm': 'null', 'food_Wgh': '10', 'allrgy_Info': 'null', 'onslf_Std_Food_Grupp_Nm': 'null', 'amplt_Cl_Nm': 'null'}]"
